number,name,objective,mappedControl,mappedSubcontrol,mappedService,mappedRunTransition,mappedArchitectures,mappedMilestones,mappedKPIs,,
PRJ12,Cisco Firewall Migration,"Migrate to Cisco next-gen firewalls. Our firewall architecture defines the boundary between our private Scripps network and the internet. They prevent public access to all of our critical services (e.g., Epic) and data.
End of Life and support for Checkpoint FW.  ",CIS12;CIS13,12.1;12.2;12.4;13.3;13.8;13.11,SecNetEng,SecNetOps,ARCH01,NA,NA,,
PRJ13,Splunk Linux Migration,Eliminate throughput bottlenecks by migrating Splunk forwarding architecture from Windows to Linux.,CIS08;CIS13,8.1;8.2;8.3;8.4;8.5;8.6;8.7;8.8;8.9;8.10;8.11;8.12;13.1,SplunkEng,DetectionOps,ARCH10,NA,NA,,
PRJ14,CrowdStrike Identity,Defend active directory against authentication attacks and privilege-escalation attacks.,RMP01;CIS05,RMP01.5;5.2,SecEndEng,DetectionOps,ARCH15,MIL008;MIL009;MIL010;MIL011;MIL012;MIL013;MIL014;MIL015;MIL016;MIL017;MIL018;MIL019,KPI002;KPI003,,
PRJ15,CrowdStrike USB,Prevent uanauthorized use of USB drives on managed devices.,CIS03;CIS10,3.9;3.13;10.3,SecEndEng,DetectionOps,ARCH12,NA,NA,,
PRJ16,Adversary Emulation,Develop a program to assess MITRE coverage by emulating adversary tactics in a controlled environment.,CIS18,18.4;18.5,RedOps,RedOps,ARCH24,NA,NA,,
PRJ17,Splunk Logsource Onboarding Placeholder,Onboard logsources that map to desired MITRE use cases.,CIS08;13,8.1;8.2;8.3;8.4;8.5;8.6;8.7;8.8;8.9;8.10;8.11;8.12;13.1,SplunkEng,DetectionOps,ARCH10,NA,NA,,
PRJ18,Splunk Linux Migrattion,Build and transition to a Linux-based eent forwarding architecture that eliminates the bottlenecks associated with ther Windows-based architecture.,CIS08;13,8.1;8.2;8.3;8.4;8.5;8.6;8.7;8.8;8.9;8.10;8.11;8.12;13.1,SplunkEng,DetectionOps,ARCH10,NA,NA,,
PRJ19,Firewall Managed Services Ticketing Integration,"Integrate our SNOW with our network managed services SNOW such that there is a single work driver, single source of truth, and single point of data entry for all firewall work.",CIS12;CIS13,12.1;12.2;12.4;13.3;13.8;13.11,SecNetEng,SecNetOps,ARCH01,NA,NA,,
PRJ20,Umbrella Maturity,Build additional infrastructure necessary to complete the Umbrella implementation such that cybersecurity features and log fidelity are maximized.,CIS04;CIS08;CIS09,4.9;8.6;9.2,SecNetEng,DetectionOps;SecNetOps,ARCH25,NA,NA,,
PRJ21,Microsoft DLP Data Labelling,"Build a data labeling schema based on existing policy and deploy it such that information at rest is automatically classified where possible, manually classifiable where not.",CIS03,3.1;3.2;3.3;3.4;3.5;3.7;3.10;3.12;3.13;3.14,SecEndEng,DetectionOps,ARCH07,NA,NA,,
PRJ22,Microsoft DLP Policy Engineering,Build policies that restrict data in motion based on data label.,CIS03,3.6;3.10;3.12,SecEndEng,DetectionOps,ARCH07,NA,NA,,
PRJ23,Privileged Access Management - Account Disco Inventory,"Define the scope of accounts to be treated as elevated. Build a process to discover elevated accounts, create an inventory, and maintain it.",CIS05;CIS06;RMP01;RMP02,5.1;5.6;6.5;6.7;RMP01.3;RMP02.2,AccessEng,AccessOps,,MIL001;MIL002;MIL003;MIL004;MIL005;MIL006;MIL007,KPI001,,
PRJ24,Privileged Access Management - CyberArk Administrative Account Vaulting,Onboard all elevated individual accounts associated with a human into CyberArk. Protect with a checkout process guarded by MFA.,CIS05;CIS06;RMP01;RMP02,5.1;5.6;6.5;6.7;RMP01.3;RMP02.2,AccessEng,AccessOps,ARCH03,NA,NA,,
PRJ25,Privileged Access Management - Service Account Proxy,Onboard all service accounts into CyberArk and proxy service account connections through CyberArk.,CIS05;CIS06;RMP01,5.1;5.5;5.6;6.7;RMP01.3,AccessEng,AccessOps,ARCH03,NA,NA,,
PRJ26,Privileged Access Management - Local Admin Minimization,Rationalize the population of local admin accounts and reduce the number. Manage the remainder with PAM toolset.,CIS05;CIS06;RMP01;RMP02,5.1;5.6;6.5;6.7;RMP01.3;RMP02.2,AccessEng,AccessOps,ARCH03,NA,NA,,
PRJ27,Privileged Access Management - Account Separation,Separate administrative accounts from daily use accounts. Provision daily use accounts such that they are not elevated. Provision administrative accounts such that they do not have mailboxes.,CIS05;RMP01,5.4;RMP01.4,AccessEng,AccessOps,N/A,NA,NA,,
PRJ28,Privileged Access Management - Privileged Access Workstations,Provision dedicated admin workstations from which all administrative activities shall be performed. Adjust monitoring posture with this in mind.,RMP03,RMP03.1,AccessEng,AccessOps,N/A,NA,NA,,
PRJ29,Privileged Access Management - AD Attack Path Modelling,Build the capability and recurring process to model attack paths to elevated domain privileges.,RMP01,RMP01.5,AccessEng,AccessOps,ARCH03,NA,NA,,
PRJ30,Privileged Access Management - AD Privileged Account Inventory,"Build an inventory and a process to ensure that it is maintained completely, accurately, timely.",CIS05;RMP01,5.1;RMP01.3,AccessEng,AccessOps,ARCH03,NA,NA,,
PRJ31,Host-based Microsegmentation Implementation,Deploy and support host-based microsegmentation to control communications on in-scope assets.,CIS04;CIS13,4.5;13.2;13.7,SecNetEng,SecNetOps,ARCH08,NA,NA,,
PRJ32,Secure Vendor VPN Implementation,Deploy and support a secure vendor VPN solution to the specifications documented in the design phase. Onboard vendors.,CIS06;CIS12;CIS15,6.4;12.7;15.6,AccessEng,AccessOps,ARCH21,NA,NA,,
